Crop,Variety,Min_Price,Max_Price,Arrival_Date
Wheat,Other,1625,1635,16/05/2021
Wheat,Other,1640,1640,10/6/2021
Wheat,Other,1600,1600,29/07/2021
rice,Other,2350,2465,7/10/2019
rice,Other,1800,1980,7/12/2019
rice,Other,1800,1970,9/12/2019
Corriander seed,Other,4600,4600,7/5/2020
Soyabean,Yellow,3500,3900,16/02/2020
Soyabean,Yellow,3400,3710,20/02/2020
Soyabean,Yellow,3600,3600,19/04/2020
Soyabean,Yellow,3550,3670,3/5/2020
Soyabean,Yellow,3600,3690,7/5/2020
Soyabean,Yellow,3250,3640,4/6/2020
Soyabean,Yellow,3300,3575,11/6/2020
Soyabean,Yellow,2650,3630,8/10/2020
cotton,Other,4650,5000,11/3/2020
cotton,Varalaxmi,4900,5250,19/01/2020
cotton,Varalaxmi,4900,5100,19/02/2020
cotton,Varalaxmi,4600,5025,12/3/2020
cotton,Varalaxmi,4020,4980,15/03/2020
cotton,Varalaxmi,3800,4100,7/5/2020
cotton,Varalaxmi,3800,4000,18/05/2020
cotton,Varalaxmi,3800,4240,20/05/2020
cotton,Varalaxmi,3000,4205,24/05/2020
cotton,Varalaxmi,3500,4505,31/05/2020
cotton,Varalaxmi,3500,4500,7/6/2020
cotton,Varalaxmi,3500,4500,11/6/2020
cotton,Varalaxmi,5400,5645,22/11/2020
cotton,Varalaxmi,4900,5520,6/12/2020
Wheat,Other,1625,1675,19/04/2020
Wheat,Other,1550,1600,7/5/2020
Wheat,Other,1500,1600,24/05/2020
Wheat,Other,1400,1550,11/6/2020
Wheat,Other,1600,1600,14/06/2020
cotton,Varalaxmi,4800,5160,24/11/2019
cotton,Varalaxmi,4900,5100,27/11/2019
cotton,Varalaxmi,5000,5230,4/12/2019
cotton,Varalaxmi,5100,5360,11/12/2019
cotton,Varalaxmi,4900,5350,15/12/2019
cotton,Varalaxmi,4900,5250,26/12/2019
Soyabean,Yellow,2800,3315,31/10/2019
Soyabean,Yellow,2500,3580,3/11/2019
Soyabean,Yellow,4000,4250,29/12/2019
orange,Other,4000,8050,2/12/2019
Chili Red,Other,2500,4000,29/05/2020
Chili Red,Other,5000,12000,5/6/2020
Chili Red,Other,5000,12000,19/06/2020
rice,Other,1850,2140,20/01/2020
rice,Other,1850,2070,24/02/2020
rice,Other,1850,2075,16/03/2020
rice,Other,1950,2025,27/05/2020
rice,Other,1850,2050,1/6/2020
rice,Other,1900,2300,23/12/2020
Wheat,Other,2000,2050,16/06/2022
chickpea,Other,3400,3570,27/02/2020
chickpea,Other,5005,5300,2/4/2020
chickpea,Other,3260,3800,3/5/2020
chickpea,Other,3005,3635,28/05/2020
chickpea,Other,3000,3850,11/6/2020
chickpea,Other,5400,5450,14/06/2020
chickpea,Other,3000,4125,25/06/2020
chickpea,Other,3000,4065,2/7/2020
chickpea,Other,3000,3900,9/7/2020
pigeonpeas,Other,3900,4605,23/02/2020
pigeonpeas,Other,4155,4655,27/02/2020
pigeonpeas,Other,3800,4620,1/3/2020
pigeonpeas,Other,4500,4925,5/4/2020
pigeonpeas,Other,4600,4800,19/04/2020
Chili Red,Other,2795,2795,18/01/2022
Chili Red,Other,6000,20000,25/03/2022
Chili Red,Other,50,140,15/07/2022
Chili Red,Other,6500,14500,5/8/2022
rice,Other,2800,2800,5/9/2022
Linseed,Other,5900,5900,26/06/2022
pigeonpeas,Other,5000,6150,6/3/2022
pigeonpeas,Other,5000,5800,27/03/2022
pigeonpeas,Other,4400,5315,8/5/2022
pigeonpeas,Other,6200,6200,21/08/2022
chickpea,Other,4550,4610,3/3/2022
chickpea,Other,4000,4325,19/06/2022
chickpea,Other,4000,4575,14/07/2022
chickpea,Other,4400,4590,21/07/2022
cotton,Other,8000,10400,13/02/2022
cotton,Other,7500,10250,24/02/2022
cotton,Other,8100,10330,2/3/2022
cotton,Other,8000,10360,3/3/2022
cotton,Other,9000,12360,6/4/2022
cotton,Other,9000,12400,7/4/2022
cotton,Other,9000,12320,17/04/2022
cotton,Other,12000,12300,27/04/2022
blackgram,Other,4500,4500,29/05/2022
Green Chilli,Other,1801,1811,4/2/2020
Green Chilli,Other,1841,1851,15/02/2020
mungbean,Green (Whole),5900,6195,15/03/2020
pigeonpeas,Other,6000,6300,5/2/2021
pigeonpeas,Other,6340,6450,25/02/2021
pigeonpeas,Other,6200,6510,28/02/2021
chickpea,Other,3500,4695,7/2/2021
chickpea,Other,4145,4530,11/2/2021
chickpea,Other,4110,4655,4/3/2021
chickpea,Other,4000,4575,17/06/2021
Green Chilli,Other,2801,2811,18/12/2021
Green Chilli,Other,2675,2675,28/12/2021
mungbean,Green (Whole),6500,6500,25/02/2021
mungbean,Green (Whole),6100,6325,1/4/2021
cotton,Other,8060,8200,28/10/2021
cotton,Other,7760,7900,17/11/2021
cotton,Other,8610,8810,29/12/2021
cotton,Varalaxmi,5300,5850,24/01/2021
cotton,Varalaxmi,5600,6345,7/3/2021
cotton,Varalaxmi,4700,6300,21/03/2021
Soyabean,Yellow,5875,6125,2/1/2022
Soyabean,Yellow,5500,6190,6/1/2022
Soyabean,Yellow,5500,6725,20/02/2022
Soyabean,Yellow,5500,7275,3/3/2022
Soyabean,Yellow,5810,7155,24/03/2022
Soyabean,Yellow,6000,7375,17/04/2022
Soyabean,Yellow,5400,6850,8/5/2022
Soyabean,Yellow,5750,6580,9/6/2022
Soyabean,Yellow,6080,6440,19/06/2022
Soyabean,Yellow,5100,6075,4/8/2022
